sentiment,text,tweet_len,pos_percentage,neg_percentage,predicted_sentiment_score
positive,sm not NOT_letting xiaojun go for his graduation nor his brothers wedding last year is my villain origin story hes too nice t,23,0.043478260869565216,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
negative,aww nagtampo puro raw ako sorry rui study time muna at cuddle with you nn and are in,18,0.0,0.05555555555555555,negative
negative,lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,23,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
positive,jen spent time on facebook she enjoyed learning about social media post times amp follower growth she is a marketin httpstcotfeqspmay,21,0.047619047619047616,0.0,positive
neutral,looks like a graduation cap,5,0.2,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
negative,for me it was spent recovering from an allnighter i spent on music projects related to a vtubers httpstcohqleahaf,19,0.0,0.0,neutral
neutral,when i graduated in grade our school custodian attended to give me a graduation present i still have it and i never NOT_fo,23,0.0,0.0,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,assam nomenclature of graduate teacher and postgraduate teacher will be abolishednnall teachers will be referred t,16,0.0,0.0,neutral
positive,happy graduation httpstcownnmejdvix,3,0.3333333333333333,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
negative,aww nagtampo puro raw ako sorry rui study time muna at cuddle with you nn and are in,18,0.0,0.05555555555555555,negative
positive,all but decided im going to hawaii for my graduation trip yippee nights at disney aulani since i cant really httpstconrkbduxk,21,0.0,0.0,neutral
neutral,giselle selfie graduation httpstcouahyumrzik,4,0.0,0.0,neutral
negative,lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,23,0.0,0.0,neutral
positive,no NOT_we lost like guys to portaldraftgraduation lol,8,0.125,0.125,neutral
neutral,heres the man to thank for getting this march organized today matt tune an exec who cant go to his d,21,0.047619047619047616,0.0,positive
positive,at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,19,0.0,0.05263157894736842,negative
neutral,according cbt n gradua httpstcoalmojp,5,0.0,0.0,neutral
neutral,preview of some of kato renas upcoming graduation goods the video has renacchi posing in various akb isshous from di,20,0.0,0.0,neutral
negative,i have an irl friend here on twitter a college close friend hi there mhega and we only message each other du httpstcoiqkjxw,23,0.0,0.0,neutral
neutral,last day apha kule officendiyivune yonke igadinmy graduation is in months so uthe umakhulu soyigcina lemali ndithenge,17,0.0,0.0,neutral
neutral,senior sundayjosh mohlnnickname mohly parents troy amp brenda mohl hockey position forward sports and activities,15,0.0,0.0,neutral
